MINT,MINT_PRICE
DEGVvwzKUgbKg8CCxtmBHLTMmUWLDRajmyGEBZeNCfQD,1.00847032
JCvx9PaYkpWToARAhdv3Ppd66uM4bWApaaGAR1YQ13wi,0.30847032
72L9DpZixMUcLTiJG8PA2yEmZb15ZXAzVAExLUwb2DeS,0.46447032
9cYnPiSqghLtcujm8VZ4pJCKujW9umg1m1kURZBTw7VR,1.00847032
7SdVQQbJPfk6gWP9cJErjpDKXL2KwpnxQo3MCYWjNS8Y,0.20847032
CyhywM4nkh16bY2m7J171b4RLKwQEP4AoFSJ4n2Xbygz,0.07197032
28naRmPYumR7NBqwgoEhyepnj2x7hTDeFqegdwbn32rE,0.06222032
4A3UsPJADdPottJqNbACDbkbYvNwjGkJmPmmGEqGw9Uu,0.01347032
Hx5qpYWjwQUSaDw7TMDToZs2YeENX1vMZm5LTJEfxrxH,0.12847032
E14WD54RdGWjxZHCtvcTgS5p1R9AwrXzBVcf8TkebHp9,0.45847032
2Sv3bfVNqcQeQCNfpoWmzZuTz2oWABDLb2fJL3i6xuDr,2.50847032
687w28384EDSabhGc9pTJJD7HCB3Jqpc1bBM1W8agnPq,0.04272032
Fd9x8DLLL39c8i99oNbCczTc3zTDyxbZjNUsciJYpHdw,1.50847032
GmKQC1zRpYg5sYKvdYFS3NhZFuZBsRXyaX5ojK1FCps4,0.33847032
F7dZdMNYvmtRrBDxVHcsAZ4XEbMXK9RY55fiMo5GTzxE,0.01347032
8u1tvK5rBhbjhtALfKbmS8xD8gRLnWShKa4HU4HGKzSo,0.05847032
4kqpYGKCgzkG6YvceyYPDfvtN4xGoGfMo7yrnFdqmier,0.05847032
29vUnjTFeTCjDXmCoPUnwtq7XHK6GTuJP2eEZMyiwcPy,0.05847032
7AMD8kcbtkX48a5UuXVzi7xKDNf3EkzpeipsVQpmxCwc,0.02322032
8d76P6eyuUXUynJAHpUbmg7BWMgGcGS3thfvgaCR1gMs,0.06222032
7WWR1TMmpHyhUwyDaareFJhNMZy7KvjRxauuscwj9Y3q,2.70847032
AbjRss6Vu5nNFHg7tF8Y8XXhVGLPBeKHG5Y1jbrRFn7m,0.03347032
4tybqSJeUNsjohvEY2QRJJiLLa4N7PD7ydF9tPVwMwEi,0.00847032
8WBPNd2RjG3tY53yvSQRU1t3u3TvVEUVFSFseTWHLMqo,0.01347032
Bzk8GTP7LfqdjMMBZZUMkecCMA4FPsTy9YFEgeyk8pHS,0.07197032
DtWSF12QvkmumvyBGZzZbaMwPdm67p5g1wBsqddGXa4v,0.00848032
GmvHWr6ohSqP2VXFZksUbRgwkhtJM2JtWR58En9xpsBM,0.00848032
4ZBxR1wcg3zcw9dsb3GSyUD5wXds4KbaSBZkUQbcKWZA,0.20847032
6g31yy4sjKdBY3hmJJjiHaySZQy92gprftnFu5wCh2NS,0.10747032
2JLj2njwdFst59BbACkgvspjBoPTsoB5nRgfbnRCjfgH,0.05734532
HRMdcNh95wo5CSPzCDneott5hnMmpS1Z5kFwj2yWz7wR,0.05847032
DdGX7MnoF2dPL9VLVrUh4eHCKNWBLZGYiiNRopKNXz9P,0.35847032
F3XwTzzb9qsPvDsFfGp21uGH9XPsE42kGJA1xJtdKYY8,1.11847032
J18mAnM1gAFub5pAFPK9Fo1ZwhqoFNqfhpnipBGsTjwW,0.04272032
56Ecvav3Ues2WBYkZNCRpBn54VNz9V8RTHeruei8zNrc,0.30847032
G4jazRyG1qrv4gGE6odEKUNx74KjPCbSFioosQb5fbQC,1.75847032
AuwMjqgws31X1gigt4HvYiLCNHi2uBM7zdiTChtZ5qzB,0.01847032
7FhJzYBrMcZDQVXZb5EEBZbiV6wmh3hcAVhkUpBRLd49,0.33847032
6Wq1n6Lg57CiW16P9Vc8sjHuGsbJbJagM4nKraHbsQzg,0.00847032
mcXmYbcd1w8ZPtFfivWJhyP66og6XsNVSpgESzgovzr,0.44847032
2tQo9RqiYeQSAG3fsE4e8innQ5bwE77NR3QAG58CBuig,0.00847032
4Mgr5xziVcXohMdYKUJ16saijgVrxXvUkzJvkHTR8PCP,1.00847032
7ntTrJBtoeT6HwDnyogJ3RipaafdyCcevec5WGG9mPXK,0.05247032
6mrqm3qnKU7niKJi2UFBPJytpfunATNe37fJUUzArNaz,0.22847032
4WdSebHEncJvY3iLdrS2h8BBtfmWVGPArr29Zv4pZCtK,0.24650032
DYMr1i38GoWi2ufcNq98JpJQ7zibPwFRDGRC27kJRE2J,0.05734532
HdamKbTQZ11RmNMf7z2UQDL55M3kYhftYrPmLZy24WEh,0.09847032
LKUCwBfi1sdu3GetFuyKW4i36BTyQXhutaHxhH3qLSx,0.00847032
3RgYw7JFDsBvF1p76vVRWsDGq5H67yQxKJJd5d9sLqVw,0.05816032
H91cSQR28G3xiPb45RgEdSYiB4Qds9iLKwuVp1C8yEMA,28000
CHxgv9GFGi1xHQghnFMwjJEjwHdkNmADXKeq4rxmtZHv,0.08172032
HFkV43FoyPuRuYMyegTRMem6tzCRubVFDjTpg7La78we,0.01347032
B6mTnvQ3fKbidnzeoXLim8Ug5AxEzX58AQp59g7CQPNc,0.22847032
GZB9fFmTfgXFpq59gfKhN1sPyKRhukpxL8HRTh9gRZaN,0.06222032
G3EwESVJKhk6HjptraLepPGLARNkBduRegwUhmqXzRfr,0.11097032
HoNr9WJ5iCJsdd6kz7T37cZxTfBFQVp5AJRtZLiUzqLy,0.15972032
4Y96ApgKcW3JXy26Sv7rLNwz7i4Bwv4Prqq5NHreXegf,0.08074532
8chsrN9ak81dUWajZn4iJcLSHmV6jaLxNyuQdhXrHPdQ,0.07747032
Edr2Dqoi6qC5dR2dKgc9o3UiTTEvGEmxiwPT4z4wuE1K,0.20847032
F7JJDURaFArX6HXvM7aSU8kHzRKtVVARCU2CbznkCLx4,0.01347032
wrNSG7c2h8oRmbabXNYMX2cYhXGgTDz2kttBFkU1s9H,0.00847032
3mp7wyu49Dbw9DQYfZ8GbG3MbkP2nCXwZnrrePBSWm5s,0.15847032
A9EJE9F34EmugavycsN1QWtfjWGj95qiSVyjkrVdgykz,0.00847032
EnWp8wo4sxe5gVAuZMWDHuAxkGXdBbB3f1r9HooiSU5E,0.02322032
DTfbSxRUeWKsCWAtHT4TfY8c21sM1hcJKoUrbFNE5fbu,0.15972032
AvsssBgG7AsdqKVBEZwCdkepUMjLy8sdjNhkgHYn8uTH,0.02322032
H91cSQR28G3xiPb45RgEdSYiB4Qds9iLKwuVp1C8yEMA,0.00847032
61oRLrA6XhKvXxuJWZnnzSapts3a7gJgVwdgZAyu4uLq,2.40847032
7yfcqZFKyynSSivQ1GHUSVtxgGHFPSWornf9wM7tBb34,0.06222032
54ckPEBqHzUm9vfppoWKfkE1WDqiy6SgwehQ73TxaBFR,1.00847032
GBqXSJpXJ6KapCxLobnJrtuTxpee2B9qCeUwyHRFiuN4,0.01347032
2ktg86K9pneqphbTnuUiRz6ESkH251SAA1dwNCEAj453,0.50847032
62Nbjzhsu7R1gQUyYMEpoK5Ht4SM3bcSjxhDuDka6QiC,0.05847032
H6aMf1rWyeDVfvp8iJSAjP1NBoMGc6UzkjmhSKSvCpEU,0.03847032
Px3AGZNK71mp8yGxuQEGRkoYf3LkURTAbjzsb8Z8Nfi,0.09147032
97raq641yfkroEQy4CN1p8cdm2Tg7QjUi9JYRqdmQg7S,0.00847032
DbXtHzmmqtGAo9JeERebsAQcPdZibDGkQMudMQoB9cr4,0.07847032
E5dxJKLND9czdtVwciZnoHMRSSP8Aw4rSZ4eKog7rf8d,0.02322032
Gn5h9kfvRJB8gqMJW1Ax6WWQSwQ7vpciDzVHjziP3CwY,0.10122032
A3PuKYsPzXah5ykYrQq54DifgWKku2c4MtP7NN5KiyyB,1.00847032
DCs5g21RcYSHS549hyqNsMYDwHtfNGx7bc7YyZ3CGWCa,5.00847032
9UkaSnWyiDopFzxFqZhmqWHoNSw5AkcHbukUrR5LuZzd,0.15972032
8RHx2hg2X5AUh5UxECb31zNYWru7S8ytWiGyYjHYjDia,0.00848032
DZNRzkp25etvoZvaerW7aQzeNhQBx1iyE2PDNJ1evJn3,0.25847032
43SywPsWBqgYCUWFSE9zxm3Lg9tLFppnGPQTjDBAd1Bx,0.01347032
Xrkdton2gkjJ3S5ojjZ5ZJGncEnLxswDV81UHf71pyY,0.88847032
BPyiV3TN3DW1wCxw1HxZbeDriosbqtPemFjpFf8623uU,0.55847032
DNFm5iWqohnvH1KCqRpXAWyrChRucQ3uX8YkGcfnTZzL,0.01347032
2qAY6Bcs4awHHJi3D2j84uujsAU2pqJZbcpodcmHUuFf,0.03297032
Q2mZYYV83rakDVN4sHoaWu4AjLUs3oVyyjyGFK3CR3G,1.25847032
AWHHaWCVxx8WHn55kTwWLCnK1UpVnwZQ8DEiFU5RpJmB,0.65847032
BTeF1WZcxkjoso9mHdPi6WehKxT91YTiFkXTummKuR2v,0.20847032
J2QzpuhBuVz4QiKrz38Zwpykg15EJycgc1pydnYzUgeY,0.91947032
2Qw5GAMQeTq3Te5vRHqjCo3NePPirEAfTbm946g8YkDR,0.00857032
7HgqnTA2Yr9Mp5L4tc7Sx5CY8HDW9YEge3eCv5ydTUn3,0.04564532
6vskGaMtppUTuYnFWKHbBiGVL89nTBURxTyNnVUnwsjC,1.00847032
AGEbQS28zwQzruE3igQR15Z423nUDqLPqEnxQvb2qCoA,0.01598032
7Aa2n7XEbz2RqzQdDLthXuazPyJS9AXEjsw2G9WAXnoJ,0.24650032
DK9sNoVx87Ssb5NKkPHKzMDGu63zohyYqueFbUFCrYjt,1.25847032
Rm2TT9UFPBZoyoJBhKYitEZoH1sW5HkXyrJvzNbJcGC,0.42847032
Dqjd7N2ucj1bfXqLM2DzqaVNnrZw8PwzpXZ1Xr8bBQb9,0.50847032
