MINT,MINT_PRICE
DziECFtstgjbAVhAUKR9UqQCWQ6fC2K5Qj5XL8EoFZsy,1.67447032
324kfVjkLo8FxnouWJXma5xrRbCHJ3UxXLVfLH3d3Nrf,0.00947032
34n1hSVzQoKQQWkWyepNeDdv8JHSQrKNpeNeSR9TNiUe,0.77847032
FCG85SoQerXT3Qap7tA4h3Mab12JVyeKaVK6eXtZCfUd,0.03297032
94UXVQoYVgZfEb2jVkRsqNNMxk6MuZaEVnjEKzZdU8rS,1.00847032
FWyqEHUXhv6D8neYu4ckSpBgVxJYiXRizKymwn61HxfP,0.11097032
3qqP886zDYPRzXtcDHyu1XuR9NTpzaZB62mVEUQtSPNA,1.50847032
C7qaYv8Rhrzmeqct2kjnxmZYhEGYnxwKrUu7WA7D43jy,1.00847032
GydA1Mqp1Y7AH5yP4wjDHdCPBtGFcwTmmaohWcjG5aid,0.50847032
4PpSwXM5ueQaMGpkEe2fDMBst9YFwZwhuvaHgR1vQ2Bz,0.20847032
6kxbpSxbRdhgVLewxwgi2ugm8ojnYeEs9RotV9z9TERa,0.06222032
F7CBB56DkKiaBEjiUzQTpoAHLSV5zgH9UCtEfNxDCfwt,1.00847032
83kZMJnCu9keES2YZ8LyDvZDk2YaQQTfFzwuV49Jhe4e,2.50847032
791Y5a5YXNb3Gatsp9LkHM8GfGMKSbNcE3eot7mKAxQi,0.05847032
8jqTgacyoUma5wboVZcmfsWZHcuQDqxhT7RXKDx68nwa,0.09147032
EEHD2QQocTWZ7Ebc8CLHMdbqeifPnNffzKL6fQpyrtH8,0.50847032
D6n4NR4eoA61krmyiJv9N8sn8w7s7f76x7Nbn74DcLPK,0.65847032
AkUv9kRdbBhF5hgPmmsjNXSDQXj2WGamAgPrbkYF3CS7,0.00847032
5LaWqGjKkkWjgXZGprBBni16NDcfSv4XaR2y1vJgxRAF,3.00847032
Hno6G69KFVy2QS2yQXQRbHdGXeW6sDixJCyVMr7PXKuW,0.10847032
9ywob2917mECj8rWLE7y7Lad28aRgNJJ4PjLP5Ya5GaX,2.00847032
CZhRUA6EttcjEVEdyWUuaYR9CDcMXR4AXePUfQm4id7H,0.01847032
96fM38tmYR1ngqppkVKoVW9NF886ehMCq7m8eHPpo1db,0.20847032
7nBfwsFLS45sS1bDEVitcKu8JWm4FQrFPuTWZnxMwYwu,0.95847032
CYzeisjd4XP7hMduSUERbxGpLsBymfgCs7rWAsZ3eBFg,0.00847032
41Vc1aX9mXNFypMq4mxxDNhi2tutGWWjiaqRFWiuQrfX,0.00947032
9QwGsg5BGm16tu5pF51ogqcHV4FXHC4kmZN4r2PAmCNZ,0.20847032
BB8H5Wmkw86Nwz9pnw9s1ALDwv6hyrJK8Z2N3Jx2kG2j,0.04272032
99GMh2zPhguHYFJyTAnu1YjghKigT362tfXWCJhDu9ZU,0.01847032
De3QX4PEYhNwyQiZChPymwLjPFZz4TjxDjEhUDfwrhkB,1.00847032
C52L5PSqa1jXcbDcFYf1Ypt6Vr5oxbmemWBxnwpE4hBh,1.20847032
FCUyy4tPeHRADXCCCU58rxMybPAW3x6pkDoPQW5eCNne,0.00847032
3CkVqsvWfYEX2PF5baH3jU4fjWkgWphzLPNMwN7aBXAX,1.00847032
Bw32tV81HaYFoZRJfAmDBSL6WQ1mnVhF35snqpFtmq4M,0.01347032
3PkyGnh3XFftDgmWphAPWk8b7ScQARFPovGPiN3rxfqb,0.15972032
3T63JYEPhT8qvpr2NfvJEs62Gkw19dYpxKgBHu3FXgHp,0.08847032
HUHauXAhqhGrJhQx53Dr179kwVjzvhCxwthU4crs4fe7,0.01347032
6ZuAQZCz7EcrdS1wguu48EerDzw5XuwZ8C3i5u5P8ypq,0.13047032
AE2dPpotGo19D1goUZADHaRq9BjRKhWGbH2HBh6WPQu7,0.75847032
H5cGcgLX3QmXPYCrGMgzsEBB3ioWGi68kcvqSfwwePGF,0.00847032
Af6biFsStiLUzbbuqTPcgEqbhXodm8P9J22Bjusz9uCo,0.01347032
DGSndL92NeEghG76xLdLhFHNC8hVRWaroYTvZymb5VyV,0.09147032
3aztSVod4h5WbkzGD9iYZUeHksihvTKkKR8LorRcvHHR,0.06222032
7B5BMZiMEeqPmhnc3dWwoWGg3hmon2FY29c5LDGjhPZz,0.50847032
GKMPsNDooN5NTxzu1GGCPDS2W42E69Rtun7EQkCyPrkT,0.11097032
FdWZRtvHcQwjxb8KF6JmEUC174Sg8VqhBiadwtThGzn9,0.22847032
BJyQ6gGaGWrn1smbUN9wcXBbqaVzSTbaTHDGbET5Garn,0.05247032
3tW2Ww57aGTRunG9VkhQ5mqAmtCUck6mq5f3X8kKA4kD,0.15847032
TcBeFR6Uc2HQZpqSLS7umXixENVxJR63z13TUTKbcoP,0.70847032
HPCCEprhCGbvACdL1WaK18mqFFrVJ9XNCgAKnHa9MEiz,0.22847032
DSGXoBFsHfS2rBJzpvV6M96yFtcqpKgqiV5iGCLcy6eS,1.00847032
CEqvZwmnCxmQkh8PSigQUx4f8zgpZph83vvn6FUoNf5a,0.02322032
FCK8GqHAwS49ZgLUfs6NFNobt2HH8iKSCE2bNbVZ4fMc,0.55847032
CnHLKAmbhEfJZLGtap3p5C8cc9fTGsoRkJC2gktg4Kvu,0.06222032
JAMFUyUNxyc7WRg3e5qB6xrNeVR2cDSRxtDDtH1qZNxj,1.20847032
