MINT,MINT_PRICE
9wqMGrnSC7NYpmF2v9Zs2yBzGupGiacS65SSfMbbQ2iA,0.00847032
HXtjmAGoiMb59QTDkwt6ErPgdbbojohWbAhfxVqgCUyZ,0.75847032
AK22vndrfuk39b3H3jCohiWPU3uRj2YjLx9P54X78Efu,1.00847032
6a6RBHqkYTUBcB7GanKhMgwVCS1WzTZ9m21N6DMVrURu,0.20847032
91X9xR3JZoNRbrWtGpHvzkENLTLuUZCUUeuNhmZKZCUH,0.33847032
bmYr4am3PaPYwV82LN1AHjsnKCzRLCPXYpGtN2GReT4,1.00847032
HJYCrYqcps2fpHav1FAy2vbqkuoQ5pLMaUMSc991njPx,0.02847032
3B2Rq9HAVcuw8kwfq7zhFenKLX6hTA3CKWBfsXkS2X3S,0.00847032
BHsnMMyw36vzfNmVs5VBrMxWzK98CDHEJmqogXrEDNyi,9000
5WV8HZy36jUHxk5MhgMadiwVixjbmr6pykVfXM7j3R2b,0.05847032
9Ma3vKDVUf55CpRH9V9bmSHxNUM5QzXq1xGnHiEQjhm8,0.00947032
57yC1VP4Nf4rTWhAm8ytHLKNPVy8FdTGkTu4owamjmfm,0.03847032
3LZ94K1oMzLhRwtX73LzUKje5pPpriPp6hvYLWawPtWc,0.25847032
2uNcRHbsQb6FsVtYLMMQq1YU1Ab6c8UdcCoS3Go15Rkb,1.42916032
Eb6fukSvS5S44E3RAKzavA4aDYgSvLrnA7qr8hWiVbmK,0.05847032
8Rw1em2oWZCssaJL1Xk6f6FXdJzmb7n7H8c4m7K2cJR6,1.10847032
2xH1ojjq1zKXQEbdbAPaVWFkLfZiEy6LqUfpgd4GPNjX,0.07847032
G4TFTbBMwCaPRnRUoRjtLt4Rm53ftV7m5x3T5QqH12eY,0.00947032
2b1BprdMPSRzB7vfd3A38mXCdbAaUVtkhAEtYoRvHGcW,0.05847032
96DKGGcWk6QeM8KbnnkqWEXTJ4pKJszSJQdKEWMSyA6W,0.25847032
CYxgENncfXGfcpPtucED9bu63jZySyZpiEYxuPB4vhTi,0.25847032
AvPEwStA3KtYJgEfAz3FFuUPUjs5Vd3PCYPj1Yv3mkZt,0.00847042
GEuYi6xd6MGtE7dQeaeQ3cGtnq2oJJMGrNCLm3zNWdyT,0.08847032
7aXNA86C2su5twCfxFWzzyE98dFTQ4Cs46ThqGhSm5v2,0.66847032
H55aQzULjtML9rmEhVqtBfUPXPmsxoYTZhktybciuxCG,0.15847032
7fa3HfoYLqK7bC69XLXjE2E2i1JnKNUnzLDDYtA6TrUM,0.02047032
6nyBq8XbJfpsUxCFnT54crHGuc9MKmgjS6nMRDFaPQvm,5.00847032
7s6ftab1m9aEjz28kbHXkxtnxKWbYzE3qsPuzojouLDz,0.30847032
BNruqGJ1XXUAvZBSwCvxFjrdYXA8zab5BfV2mmzSrfeU,0.15847032
ELgLe9VNG8VJJvNjef3S4AJx87fWsPg2DnGavub1vmwq,0.05847032
7rhx6oWLizvAW56uJ4u9VgLqNhzC9BvjD7b9YEUVgzqX,0.33847032
AxHzjnuQWbPazThNHZc1AZmdpzkVrgtyK4gLtLmZipbJ,0.03347032
Fw3MaWdVBepu2bRh9rjVni7wqtE34bca1kyPHsSkvJKY,0.02847032
8ev7YGqM73ov6xNriTkKt3Qq91dbyWhH33fJwhTH8dLQ,0.00847032
F96mf7BkBmxpXuGCYsoM5RiJKhFbeZw1Cg43WS94UoLF,0.22847032
46aGWP52rWUhqtgbSfYqQ442wbQy6Anoe4aKDQHJDiFF,0.00947032
5ThCgEKWLnKLCSEQ3YMooShX2CGATtPPM2XrwDZWnjfL,0.01147032
5winDxVPJ7kHtqh1yieGjcuH95YBAyNGGJgfiPhcvRCr,0.34847032
HVxBJFAdFeCzX8P9hPuoPJUSx4nXGXKrTfj4yCC5YM94,0.06347032
CX7ygducf5ArE9AGqjvU3UoFsSMDUvUeWsduSgcsAByB,0.25847032
Br8unM18peaxGmKTjKM2mTbcGxVwrHPKBFUzqnsNagRo,0.05847032
7iZx7MWbRY4bCPAS6ueBsJ8xiATNaCQnPsPZEFYLg14j,0.40847032
6fzTpCh745cF927xxg7w3FUseivTSdo5dhtX7uY7Qk1S,0.88847032
8MeWc8C6w4PFP21ZEQZrrw4gABv9ryFMC5cZaR3n8u1X,0.29847032
AhsPnDgbAbrgBvy8fEnNWygbVWyCXubAXD41nFq6e4P7,0.25847032
