mint,capped
A822rEZFJQt5Lqf2BVLWc7HTZUudNyvEAvc5HvWbY841,TRUE
G9UdB2pqrTCBnW7NgP4rkbmcaZmhoP3GEEpAReqRqjPW,TRUE
3xkKkaG6LKAaeYQGj1wdQPXjgporqouD35EG57ztaMiB,TRUE
EvmEALHkuTndUDWDBw33i1dLt6bsVapYpWNexmbaz14c,TRUE
4g16JT4S6vL8wHBsEP2JGWbzm2MPsVKd7TzEBcqXj2wJ,TRUE
J6Mx3qiUoKhYPRcVx3HMezpSN7M9Kkvvmmjr1Ke7JoqJ,TRUE
8FJNmy2vGCuXjCBhvDbjc3wp8tPNjyziry4PC4C1jQFC,TRUE
BaLgTwrhaLNap333LcMFf64KJy12CyP4ZKD2hgqV5L4J,TRUE
RSEwi3BPENTh3J7CvaYPAZXJPzzJHzpuGL3LaoqPKvA,TRUE
5FEKVa6j945QjNwKc9C6haZjemavXqee4e8Fxuncc9XC,TRUE
2FgeNCcBAmdCfj1YuxcagywRBtgtRj6gcYxDw2nXcBeX,TRUE
8ezsw4A7trKXY9MYogYRLJrwyqS5ZsvQgQgd2AqdiVKm,TRUE
C5AGDEjJMeUMTVeoxoWX4NrPNsz4GxXgfSbuujU5tF6t,TRUE
HDi8CL11di1ZwBLTjubEYSSpRWRPorJT5bbYXLJ98kkC,TRUE
EqahGjy34VFqJh8gBRjR1FGUsHc2PSxjTPvEoEJkwzZ3,TRUE
ALX9FDfZ4kN92qyBqjKv5ZgRyNXNtS2sEsTHVuMiNMRu,TRUE
BuSDArCD3c6Z6BZAybE3u7oXRSqXhnRaDXE9xiU4aegj,TRUE
2CtPLsCcyNasxH4KGtCyFuNzSTAcEcmyaDg3Qw1SHCbr,TRUE
z763J1vWbvsmg5wxLmEVYbBoQbevXGfwTWHpnS2N1aE,TRUE
8xUPuaefkob9SEE4N2gaAp69HGhiRdhPw18iCkAW3o7W,TRUE
4LgB5QSBy5KT1ZteM2dpxYn5a5fEr3hbZuKKJpsaHQCc,TRUE
8f2zA7A9sb3eMeXmBjx4K4n9Suk4p1iSPpzZYFFpsYAK,TRUE
JCGBfh9gZZiU4h4hpDXBvUyhMEQPLSf77vqNpNKwRBoZ,TRUE
7syuHQ7vjNhqkETKdS5me7UrLZCywRxg2UfKCr8aehSt,TRUE
7CYGCBsPeRspqzPfg438gRxXGgsizMk2WxC2iVvbmN6U,TRUE
C8jE4Y8vZfE3Y6nZe2HAuC37MQvYU5LScSGJdyRGfTKi,TRUE
43XzZm2az8QtaKUk79325QNxvW64QooVRQPGLs9jTkyn,TRUE
6hHUiGEBP4L32XjV4BWa7kPFBh5q2V2B3Mdo5R6SFZhb,TRUE
EMCfAxJyw6aXFqDWVUNmDaahXjyERoFipeQHrkyKzoQm,TRUE
8pUPcUpzgc5KNCPKqrBwQy4UsbiVcwg6eMLxEJSJv9sD,TRUE
5UGyiotWDZfyZQZsNt3ffbaDXfcDQhoRdgfJHLxFho2v,TRUE
B3fcHwaP9dnqxDpmALycq1MvRKK2JebMwucZNYQf8R66,TRUE
7iiJinZHU1mH2rBNbhWsFXcfZprrz5TMLf1p1zvPdxLy,TRUE
6yHCNQJjX9Fm1fAKYGoCWMv33BkfALkSEyAmZRhvfP9w,TRUE
4NDtTUUJS8nWcLNZ6SNkq8QD14AY6oiaP3ENyTCEmeJ3,TRUE
