MINT,MINT_PRICE
CSsbHyRJUYiL9MzE2fiedYzQAfYjn2DY64V2hU7VyDBW,0.30847032
GkVnW4ZPCDtMjUNJaEu3qBi7YkRWp26mBm8XJbo5PmLX,0.49847032
4HVik1qvLD4p87CeavoaCAaiMrAsMigqEbRymjEk8UF2,0.15847032
kHfDTrfe2G1PGFb3d2bbe3pf1xPMVLKsyorzFBPQPSo,0.75847032
HVS8QoVCT8q9e5FMAajR4RjCsa286ejVjt5LLPkr1Gzf,0.69847032
4sQJmJ7ZJMfiWmTLYKE34b5VfwebLMBNcQFGW1Q4K6TP,0.25847032
APDNr4kwUVCLc1uYQbHb742J7Ng1gSqVkoyS6BfHUeVz,0.33847032
9Qpx7rtFga49p7XFGQtPULfvboam4VPTgspvz6a5Ewgj,0.008470321
8xSNeFqG8kPyNmbhV57ARrau4wh5Aj7rwn93Eh4EZuSu,1.00847032
3uLw8j8SqYaEeg3ePVM8WRfTrqtCvpEWpKDRTguKxB5m,0.40847032
H7Xv2yzmbMWEjryiMrt1A93dAGp6WACn15btEUGJtdrx,0.33847032
EnLKVzLu2W9B4spkqVGnyv4HNiGVXXzsk9utmNkvp4t8,0.11847032
4ffo9vdsGK6YeDncxAHvUACdqRxMN66T3VAeQ9gGEZ5q,0.35847032
3fDHE826oLPJakBZobF3jij6icYggkX9wBSYTT7aUTEs,0.50847032
Bddn5ek2w8xJ5dkHgrBCTcufLR5ntC32qKddEG3Wgs8y,0.01847032
G6vnGoFa472rQmbixnexVHqeambyH7bmjGyZfnxwhpfH,0.00947032
JBhMJzx9MfEUpZFwgQUpiDn4E8EQv76i5igz4vjASa6V,0.05847032
D4uvLLFxrtDyQWW1UbkuZy6DYSPPsA5Q7i3h49edFqkA,1.00847032
EVXaqUQro2GynMaMgTUJdhvJPBQxWWwmfrH7LcSs3oBX,2.50847032
A3cYQYEGgNi5uWCBzbHhw8cq1WNyP7sbR5gTYJCjUGky,0.44847032
2mXbtK76p9mT3byDScZXiYhioTwn8bM3k6gGjBPVLrWA,2.00847032
6Cpe6tHMkJb7z6ekPZoeAYjj2Ko8vFYifwTkc7vtSkMx,0.00847033
GD4fnrYLFVediPSJJohYwPV5uPPii1G69Jch4tru4kcH,0.50847032
ADXtTgPDjnyx7g9Y4SPYeggdPZfCVXLvc7gnwDmyXFXi,1.00847032
FmXsLcPr9CXxRfbfLUBudAj17y9DktmHazYcp7WiAeeo,0.33847032
BERUVoR4dpnvjRBcnkvXaeC28NHN9AGTTWeshJpqbMkr,0.45847032
4c5pWjN14bLKP9EoNyzaUYruutjhVrcikUung2B1hS7Z,0.70847032
4AjzNsrWU2oxkmvtrM1yPJMHCCvjPHN5cpsUUwuk7dKw,0.69847032
qGsVmjufjDJwWh1kKvmse6p4GjK6bRQvYLdb7XxTWBw,2.00847032
59B58KpgWArRGuG9bFGqdhjnETVsYrxQzChzuTHtJbSE,2.00847032
ExM7hdZhMq3L5i6BreittEa5vG4AcZQqz6PuLFcHo5Ae,0.20847032
AWqWRyrDcMXR9Pk3YM3RfvJjd8FZPbyEWpsJDMYvrd7X,0.00857032
5QvFs3Dr955vpyhgR5nwxbLCSYqgyu9vQyi8eUgy77Jf,0.10847032
5KLM347cJMN51B8H6yNxXhyf2kXfH5sMfFAH3mqujSNL,0.63847032
7pfZp4pKuVhseuET5tMmnET3DAJVPDZTvDBuoRaEZ4ro,1.00847032
4imeVCRp8xpPXFY8GXogThDwq8DXkD27Kejux2Lj9wbz,0.00848032
5xrPjLLEn7owkLLGMU6o13rsZz3pmZo1ypZw8FvRCtcY,0.22847032
3tup1jBcfEbFEJXaPWmsAfz3TmasfQXY9M1etty4a8Ji,0.10847032
3PNe2pEmq9XPzWdmvAG5APVTaSoMhYEMYm9RKUM9hDEH,0.00847032
6DJDA6cdK8WdDC61YbtPsCLhwyv9yn6PaoQjT4oEtXBh,0.00847032
GzpatLUBNB8LBoUxy9wLHi4GeEbF8kYdvbMDJFgccpQr,0.50847032
6DJDA6cdK8WdDC61YbtPsCLhwyv9yn6PaoQjT4oEtXBh,500
D6JaSngipUTXoS8oaVugZoYdHawBeEngcFVFjJohcpHC,0.60847032
26dy98GpZjVqzaY7LSPqjvHDtriJrBUv9Zi2zTqTDQwy,0.01847032
5gHKCVJZiu1F1wv818RLWbQ4WGufhMbU7JZYpCMwPj6c,1.00847032
