DONOR,USD
terra1p9fvr46mvx50927hh872wh62rnxc6ynql9l6lw,55.016460412
terra1gqtn75erw4ztcld9zacqxxrz6w2zlqedhc39eg,50.212743205
terra1a8t8gjy2ten3awmanrslqna7pywuh48n0seplr,50.015336243
terra1zl9fkwuyp9ya6cx3qyecmtmm5ald9enpy9vge7,49.977741219
terra1rsk638ha7wgr9g4v9k3q8t6qs8dmhc4ct2m7tn,49.858553598
terra180cx8j4uvgp36sy36qzg3v2ke7j8uaepzdyp8v,49.858553598
terra1rwrc0tl2cc8hshyy2dse2q39ge0fnsuz7y628v,49.858553598
terra1hvw2mg4zwr6ejx4g3ygkg950ddxtuu5atlr978,49.68513768
terra1vx2cqdkckafsycwpvdtscx5ad25yhsavqrzv5d,49.68513768
terra1dmh0nnlgntwr0f84gg5wxxqty8l5dx4ujtm6pv,49.029363353
terra1mvvpnycta35mdh8nt7v2ppuqqvnhrkeqepdvkm,46.126857455
terra1lz5r84djv2pc9l3pfk4tpkg08rqms7dpfr3a7y,39.940967444
terra1ka8nsl3gn035z0t2kw8nddhhy6enccs53x6l5d,39.886842879
terra1freqtv8e0l8v0u6sgasj8alz4jjna8u28dntpa,38.060737713
terra1a0qts2095e3k5h84nrpj00dqkzfhhhqa33qnpl,35.930344619
terra1lztc7wd4qjt9uyk0snq3gwd9rnnvk9muw39kex,35.085662907
terra1qfm6jh46rcurfpgrnuzu0mcjfwdervrrua7z6m,31.986750508
terra1q908y5q5t9mzyvagydjssn5kw70v4dmvyzu75q,30.179750622
terra1kw6eua0w47vc0cdkrlgpsr9mecjetuwpcyh2f8,30.174786451
terra1nel3mggkwec2m928lwgag5km0h6rgm4hmgdvmy,30.127645923
terra1cml5mmsdh674943psrlvsxva3qxrc4qapq8t33,30.106407403
terra1k5puzsa66zzmfja638ldmgj2vydttupxj6em96,30.051579247
terra19lyfyvl9c52j4ejx4capysdplprr60k59a8qgj,29.978497908
terra1lv78qv23p85u489lrzp2ecevy3lu20whl5vgny,29.955725583
terra1y9dyj9me287krw2sm4mznrhu9l73w457sk8f7v,29.915132159
terra1fesejna4qummnkfg785j5qvpkua2heemkpwaan,29.915132159
terra127zyclke4d6x2uzj0j8pnrjxq65ry0qctv5hge,29.89614913
terra17xzxx3qejvfx7vm94qdd604ntx2pzfa7cumlxq,29.862670992
terra1tnw7h6whkg40dq8tyvv49k3crfegzure03kfe8,27.030611173
terra16g9ad4hcerm280u8dkssvwzfyp5m574zqjdtwx,26.055236341
terra1tluyekggnce4js7usrs0xk06528vg99ra09ae8,26.039493746
terra1ju0dk9cm80qnx327llmf27zwa84sq3rhxvpgny,26.009576426
terra1k8ny58u2p8lnnfutazzszlrqj7mrxudhd9edy0,25.989234788
terra1em20lkl976zx5a0gu4qet4fj86wqq383spcern,25.989234788
terra1u24c7ghn8gns0jvx2t5ylzffdw0n0wk4sgg9ct,25.926447871
terra1l24mhglxztsz3l8650maf0sh37wny88vza8m8x,25.926447871
terra1lzhqvac074p78useqrp86mu6gtj4clp4gfll6s,25.926447871
terra1qlkj9fky8p8cvuuw6hx33swrlruagwk2swy7um,25.86143304
terra12qdn4hhkq58jtueu57g4a46w0pdt4x6yfl0e2m,25.836271594
terra12h6ddakss4hk7kweh5ldnpdkmdm2gyftnm7qv0,25.836271594
terra1e3hxqrgfqyjq8403yuaknrysrqa4zje3ghca7l,25.152750431
terra194jgsyqf2fmdtm5c4gustvxp0we0l8cehw4hpw,25.084498775
terra139c7er05su7qaw2n85kh6puq6vlxtz4x7f9pm2,25.068276116
terra1373qux4ug8a6hxakc7vtfyglf8sjc2w5kjc0j8,25.068276116
terra1rrskevnpxrt43km5et2kymaqv53690jg6pld5y,25.053111866
terra1n0dje6wxqdpt6fmh3flq0vvx26qhernhrmks5r,25.010122219
terra1t2dp4hldplc7mz5s2ldan737mv5ukw962qlmkk,24.989648835
terra1qdzyh7sx6jg5xwgj34dwevgsgy2aqdxhv92f9s,24.98208159
terra1drrxmur7e0u3txz4srp2c9mystnz8gn0kvqp70,24.977377471
terra18dtn3mcsxx4zxvf7vc5vauump5mm2c58xru4ew,24.963104652
terra16y53jvm0gg40gng83w34avfh69369nsxkpgvc6,24.963104652
terra19x3ngdksdqk7phlu8vu0ersan6l3r8mqleyct3,24.929276799
terra1truecdmp2m0z3vu5trv6j57ercqrxltlllq363,24.929276799
terra1wv64xsyq44ny9yeq9ncfnfwty4yfsvemsasdmp,24.929276799
terra167d69atdud4pghdd2djt7r7dujghzynlxx8ct4,24.929276799
terra1sx3s0xw6zlsf38gfg5v8xg3wemweexwty4hncz,24.89366178
terra1f8tn4e4yuchhpy8sx96t6vg7r3wdh4ejv4tupf,24.88555916
terra1qprzwjkhxlrke9adez3x7xteyxgm9452m9338z,24.866762538
terra1f7xu63lktgmntyd797uf7y74zkme3hnx9y5v05,24.866762538
terra1lapqklts0e6ynke08ltpngrwt2kv4z3dz627nv,24.84256884
terra1yxp2eftcl3aeq2rqufj6u7zpz37d7pxsq9nxwe,21.001197424
